City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
136,Les Cayes,HT,76.48,few clouds,18.2,-73.75,Villa Orphee
137,Ahuimanu,US,78.51,few clouds,21.4447,-157.8378,Paradise Bay Resort
138,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
139,Hirara,JP,77.27,shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
142,Cravo Norte,CO,75.31,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
146,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
147,Bolgatanga,GH,80.15,overcast clouds,10.7856,-0.8514,Mama's Place
149,Cockburn Town,TC,79.07,clear sky,21.4612,-71.1419,Osprey Beach Hotel
152,Victoria,HK,87.96,broken clouds,22.2855,114.1577,Mini Central
157,Voh,NC,77.97,broken clouds,-20.9667,164.7,Le gîte du Koniambo
160,Harper,LR,77.99,overcast clouds,4.375,-7.7169,Screensaver
164,Kedougou,SN,81.45,overcast clouds,12.5579,-12.1743,Relais de Kédougou
168,Quatre Cocos,MU,79.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
176,Morant Bay,JM,80.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
186,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
191,Charters Towers,AU,77.9,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
195,Sao Jose Da Coroa Grande,BR,75.72,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
196,Sola,VU,81.3,few clouds,-13.8833,167.55,Leumerus Bungalows
204,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
208,Vanimo,PG,83.57,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
210,Lorengau,PG,84.51,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
213,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
215,Marawi,PH,76.24,overcast clouds,7.9986,124.2928,Derogongan Residence
219,Ternate,ID,85.21,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
223,Ishigaki,JP,78.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
230,Anloga,GH,80.42,overcast clouds,5.7947,0.8973,Pin Drop Hotel
232,Mitsamiouli,KM,79.9,clear sky,-11.3847,43.2844,Foyer ADM
233,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
234,Kawalu,ID,83.25,overcast clouds,-7.3817,108.2082,West Jontor
235,Bubaque,GW,77.83,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
237,Carnarvon,AU,76.14,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
238,Aden,YE,85.5,broken clouds,12.7794,45.0367,Sama Emirate Hotel
253,Bongor,TD,81.16,broken clouds,10.2806,15.3722,Oryx Palace
254,Camargo,MX,75.43,clear sky,27.6667,-105.1667,Hotel Santa Fe
256,Kingman,US,83.68,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
257,Xuddur,SO,77.05,overcast clouds,4.1213,43.8894,Banjanay Hotel
259,Anito,PH,87.87,overcast clouds,12.4497,125.2886,El Felix Cottages
261,Meulaboh,ID,86.92,broken clouds,4.1363,96.1285,Kost Pria
262,Hithadhoo,MV,83.73,broken clouds,-0.6,73.0833,Scoop Guest House
265,Roebourne,AU,82.94,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
269,Karratha,AU,82.9,broken clouds,-20.7377,116.8463,ibis Styles Karratha
270,Panaba,MX,76.66,scattered clouds,21.2833,-88.2667,Hotel Don Fernando
271,Tabou,CI,77.92,light rain,4.423,-7.3528,hotêl doufoulougou
272,Priargunsk,RU,81.21,clear sky,50.3691,119.1012,24 Chasa
276,Luganville,VU,81.09,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
278,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
290,Derzhavinsk,KZ,81.77,few clouds,51.1,66.3167,Ooo.khim Baza
292,Ormara,PK,83.84,overcast clouds,25.2088,64.6357,Kenara Colony house for Rent
297,Hambantota,LK,82.74,thunderstorm,6.1241,81.1185,Bungalow 63
299,Lazaro Cardenas,MX,77.56,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
302,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
312,Badarpur,IN,84.87,few clouds,24.9,92.6,Rejauls home
317,Yatou,CN,77.34,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
320,San-Pedro,CI,75.34,moderate rain,4.7485,-6.6363,Hotel Maria
321,The Valley,AI,80.46,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
322,Gashua,NG,78.01,clear sky,12.871,11.0482,Forte Oil - Old Lorry Park
324,La Asuncion,VE,78.53,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
327,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
332,Dicabisagan,PH,89.08,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
334,Kavaratti,IN,83.68,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
338,Osmena,PH,85.23,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
343,Eyl,SO,86.83,broken clouds,7.9803,49.8164,Amiin Hotel
349,Ciudad Bolivar,VE,77.72,scattered clouds,8.1222,-63.5497,Hotel Edi
352,Pandan,PH,88.3,overcast clouds,14.0453,124.1694,Bonifacio Lodge
358,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
361,Malindi,KE,78.96,scattered clouds,-3.2175,40.1191,African House Resort
367,Tautira,PF,79.47,few clouds,-17.7333,-149.15,Pension Oaoa
371,Altay,CN,79.39,moderate rain,47.8667,88.1167,Jinqiao Hotel
372,Wanning,CN,88.03,overcast clouds,18.8003,110.3967,Paradise Hotel
374,Salalah,OM,84.13,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
375,Lufilufi,WS,82.18,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
376,Iquitos,PE,75.24,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
390,Darhan,MN,79.07,overcast clouds,49.4867,105.9228,Buudai Hotel
394,Mogadishu,SO,84.07,scattered clouds,2.0371,45.3438,Hotel Juba
400,Progreso,MX,84.31,broken clouds,21.2833,-89.6667,Playa Linda Hotel
402,Markala,ML,82.71,light rain,13.7021,-6.0659,Hôtel Igor
404,Saint-Georges,GD,80.28,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
406,Bengkulu,ID,84.83,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
409,Lahaina,US,75.81,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
416,Ambilobe,MG,79.68,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
420,Maymyo,MM,76.55,scattered clouds,22.0333,96.4667,Tiger Hotel
425,Baracoa,CU,77.27,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
427,Baruun-Urt,MN,76.06,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
436,Amazar,RU,80.01,scattered clouds,53.858,120.875,Гостиничный Комплекс Уют
440,Mingshui,CN,86.68,scattered clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
441,Hamura,JP,78.24,few clouds,35.7648,139.3079,Plaza Inn Hamura
442,Huicheng,CN,82.26,broken clouds,23.0385,116.2899,Huilai Hotel
443,Finschhafen,PG,83.66,overcast clouds,-6.6024,147.8681,Cossam Guest House
450,Puerto Madero,MX,75.4,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
452,Kieta,PG,82.04,light rain,-6.2167,155.6333,Uruna Bay Retreat
453,Catalina,US,82.51,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
462,Serebryansk,KZ,80.71,broken clouds,49.6925,83.2892,"Gostinitsa ""Vodoley"""
463,Sabha,LY,84.67,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
