City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Chokurdakh,RU,70.6333,147.9167,32.34,65,91,9.44,overcast clouds
166,Mecca,SA,21.4267,39.8261,93.25,11,7,8.77,clear sky
167,Rovaniemi,FI,66.5,25.7167,53.01,50,0,10.36,clear sky
168,Quatre Cocos,MU,-20.2078,57.7625,79.09,65,36,10.8,scattered clouds
169,Houma,US,29.5958,-90.7195,70.0,98,40,0.0,scattered clouds
170,Longyearbyen,SJ,78.2186,15.6401,42.64,75,0,4.61,clear sky
171,Cabo San Lucas,MX,22.8909,-109.9124,73.62,71,0,1.01,clear sky
172,Lavrentiya,RU,65.5833,-171.0,39.92,85,100,7.45,overcast clouds
173,Keetmanshoop,NA,-26.5833,18.1333,55.81,36,0,0.2,clear sky
174,Beloha,MG,-25.1667,45.05,69.13,80,0,3.6,clear sky
175,Nome,US,64.5011,-165.4064,48.16,76,0,13.8,clear sky
176,Morant Bay,JM,17.8815,-76.4093,80.22,85,21,10.67,few clouds
177,At-Bashi,KG,41.1702,75.8106,66.04,32,5,3.47,clear sky
178,Husavik,IS,66.0449,-17.3389,40.59,97,100,12.73,overcast clouds
179,Goulburn,AU,-34.75,149.7167,61.03,61,30,5.73,scattered clouds
180,Egvekinot,RU,66.3167,-179.1667,42.8,68,93,7.07,overcast clouds
181,Angoram,PG,-4.0625,144.0661,87.21,62,99,2.86,overcast clouds
182,Kaitangata,NZ,-46.2817,169.8464,46.13,75,78,6.38,broken clouds
183,Ulladulla,AU,-35.35,150.4667,65.77,57,88,7.14,overcast clouds
184,Sambava,MG,-14.2667,50.1667,74.59,74,4,6.73,clear sky
185,Bonavista,CA,48.6499,-53.1147,43.95,83,83,11.41,broken clouds
186,Acapulco,MX,16.8634,-99.8901,82.22,74,75,4.61,broken clouds
187,Vrangel,RU,42.7297,133.0839,51.66,93,100,18.77,overcast clouds
188,Taoudenni,ML,22.6783,-3.9836,88.18,13,46,8.21,scattered clouds
189,Srednekolymsk,RU,67.45,153.6833,51.51,47,67,17.4,broken clouds
190,Nouadhibou,MR,20.931,-17.0347,64.38,94,1,14.97,clear sky
191,Charters Towers,AU,-20.1,146.2667,77.9,41,15,11.5,few clouds
192,Sorland,NO,67.667,12.6934,46.26,85,85,4.88,overcast clouds
193,Baykit,RU,61.67,96.37,60.42,40,15,8.14,few clouds
194,Katsuura,JP,35.1333,140.3,70.72,72,99,11.88,overcast clouds
195,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.72,88,83,10.4,broken clouds
196,Sola,VU,-13.8833,167.55,81.3,72,18,11.23,few clouds
197,Segovia,ES,41.1667,-4.0,42.44,86,5,1.9,clear sky
198,Restrepo,CO,3.822,-76.5224,68.34,96,100,2.39,moderate rain
199,Adrar,MR,20.5022,-10.0711,82.83,29,0,10.11,clear sky
200,Shepsi,RU,44.0361,39.1489,60.21,67,30,2.42,scattered clouds
201,Semme,FR,46.1963,1.5007,52.21,99,17,2.62,few clouds
202,Roald,NO,62.5833,6.1333,54.16,87,75,3.44,broken clouds
203,Freeport,US,40.6576,-73.5832,57.38,72,0,3.44,clear sky
204,Saint-Philippe,RE,-21.3585,55.7679,78.39,73,15,8.21,few clouds
205,Pacific Grove,US,36.6177,-121.9166,55.51,91,75,8.01,broken clouds
206,North Bend,US,43.4065,-124.2243,57.85,97,0,10.36,clear sky
207,Santa Cruz Del Sur,CU,20.7147,-77.9956,74.88,87,45,13.91,scattered clouds
208,Vanimo,PG,-2.6741,141.3028,83.57,74,98,6.11,overcast clouds
209,Namibe,AO,-15.1961,12.1522,66.16,71,0,6.33,clear sky
210,Lorengau,PG,-2.0226,147.2712,84.51,66,100,1.3,overcast clouds
211,Carutapera,BR,-1.195,-46.02,72.93,96,25,4.88,scattered clouds
212,Codrington,AU,-38.2667,141.9667,59.77,81,97,9.28,overcast clouds
213,Bambous Virieux,MU,-20.3428,57.7575,79.21,69,40,8.05,scattered clouds
214,Nanortalik,GL,60.1432,-45.2371,34.74,72,12,6.87,few clouds
215,Marawi,PH,7.9986,124.2928,76.24,83,85,2.75,overcast clouds
216,Altamira,BR,-3.2033,-52.2064,70.65,93,31,2.39,scattered clouds
217,Matamoros,MX,25.5333,-103.25,74.59,39,0,5.95,clear sky
218,Mangai,CD,-4.05,19.5333,68.23,95,88,0.94,overcast clouds
219,Ternate,ID,0.8,127.4,85.21,65,55,4.99,broken clouds
220,Gomel,BY,52.4345,30.9754,56.82,94,100,4.47,light intensity shower rain
221,Avera,US,33.194,-82.5271,73.54,90,100,9.24,overcast clouds
222,Haines Junction,CA,60.7522,-137.5108,47.55,67,95,4.14,overcast clouds
223,Ishigaki,JP,24.3448,124.1572,78.93,100,75,4.61,broken clouds
224,Muravlenko,RU,63.7898,74.523,59.58,39,100,16.4,overcast clouds
225,Agropoli,IT,40.3469,14.9966,72.09,42,79,4.32,broken clouds
226,Upernavik,GL,72.7868,-56.1549,25.47,60,97,7.63,overcast clouds
227,Konigs Wusterhausen,DE,52.3014,13.633,62.02,66,0,11.5,clear sky
228,Puerto Narino,CO,-3.7703,-70.3831,71.15,98,65,1.34,moderate rain
229,Kununurra,AU,-15.7667,128.7333,94.98,20,43,14.97,scattered clouds
230,Anloga,GH,5.7947,0.8973,80.42,80,87,7.85,overcast clouds
231,Yumen,CN,40.2833,97.2,78.58,13,100,20.47,overcast clouds
232,Mitsamiouli,KM,-11.3847,43.2844,79.9,71,4,5.48,clear sky
233,Cayenne,GF,4.9333,-52.3333,82.09,1,75,2.3,broken clouds
234,Kawalu,ID,-7.3817,108.2082,83.25,66,100,2.59,overcast clouds
235,Bubaque,GW,11.2833,-15.8333,77.83,77,100,4.79,overcast clouds
236,Altamont,US,42.2068,-121.7372,64.24,34,0,3.44,clear sky
237,Carnarvon,AU,-24.8667,113.6333,76.14,39,100,3.22,overcast clouds
238,Aden,YE,12.7794,45.0367,85.5,72,57,5.28,broken clouds
239,Mantua,IT,45.1667,10.7833,67.95,83,1,1.99,clear sky
240,Lagoa,PT,39.05,-27.9833,60.73,75,3,17.38,clear sky
241,Rabo De Peixe,PT,37.8,-25.5833,63.28,85,75,4.61,broken clouds
242,Port Elizabeth,ZA,-33.918,25.5701,59.29,100,75,8.05,light rain
243,Tateyama,JP,34.9833,139.8667,70.02,74,100,11.95,overcast clouds
244,Fortuna,US,40.5982,-124.1573,52.09,92,100,6.91,overcast clouds
245,Vila,PT,42.0304,-8.1588,47.28,90,15,4.79,few clouds
246,Mercedes,AR,-34.6515,-59.4307,40.78,91,35,7.4,scattered clouds
247,Inhambane,MZ,-23.865,35.3833,67.37,86,0,4.18,clear sky
248,Thaba-Tseka,LS,-29.522,28.6084,39.38,72,0,4.45,clear sky
249,Oudtshoorn,ZA,-33.5907,22.2014,53.96,87,46,1.74,scattered clouds
250,Skjervoy,NO,70.0311,20.9714,62.6,66,73,17.31,broken clouds
251,Bilibino,RU,68.0546,166.4372,56.75,42,100,7.74,light rain
252,Rio Cuarto,AR,-33.1307,-64.3499,47.48,70,100,3.71,overcast clouds
253,Bongor,TD,10.2806,15.3722,81.16,61,60,7.67,broken clouds
254,Camargo,MX,27.6667,-105.1667,75.43,11,0,4.68,clear sky
255,Buta,CD,2.7858,24.73,68.95,99,100,1.14,overcast clouds
256,Kingman,US,35.1894,-114.053,83.68,10,0,11.5,clear sky
257,Xuddur,SO,4.1213,43.8894,77.05,66,85,17.49,overcast clouds
258,Samarina,RU,57.8878,27.8054,55.29,95,100,11.27,overcast clouds
259,Anito,PH,12.4497,125.2886,87.87,63,95,8.61,overcast clouds
260,Yago,MX,21.8333,-105.0667,70.99,82,0,1.25,clear sky
261,Meulaboh,ID,4.1363,96.1285,86.92,62,60,9.08,broken clouds
262,Hithadhoo,MV,-0.6,73.0833,83.73,65,54,5.59,broken clouds
263,Waitati,NZ,-45.75,170.5667,44.8,60,36,4.72,scattered clouds
264,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,78,71,5.86,broken clouds
265,Roebourne,AU,-20.7833,117.1333,82.94,46,74,12.5,broken clouds
266,Vangaindrano,MG,-23.35,47.6,70.83,85,4,4.12,clear sky
267,Chervonohryhorivka,UA,47.623,34.5389,62.04,58,33,14.0,scattered clouds
268,Tuscaloosa,US,33.2098,-87.5692,69.58,93,75,5.75,moderate rain
269,Karratha,AU,-20.7377,116.8463,82.9,50,77,12.82,broken clouds
270,Panaba,MX,21.2833,-88.2667,76.66,87,29,10.36,scattered clouds
271,Tabou,CI,4.423,-7.3528,77.92,83,81,5.46,light rain
272,Priargunsk,RU,50.3691,119.1012,81.21,13,1,8.86,clear sky
273,Teahupoo,PF,-17.8333,-149.2667,73.36,72,23,11.83,few clouds
274,Aykhal,RU,66.0,111.5,34.38,60,100,16.73,overcast clouds
275,Whitehorse,CA,60.7161,-135.0538,49.01,49,75,10.36,broken clouds
276,Luganville,VU,-15.5333,167.1667,81.09,73,28,4.52,scattered clouds
277,Bousso,TD,10.4795,16.7117,83.21,53,81,5.84,broken clouds
278,Itoman,JP,26.1247,127.6694,77.4,94,75,3.44,broken clouds
279,Puerto Ayora,EC,-0.7393,-90.3518,72.55,94,30,4.0,scattered clouds
280,Loubomo,CG,-4.1997,12.6739,67.75,98,70,1.79,light rain
281,Pinhao,BR,-25.6956,-51.6597,51.1,90,1,3.18,clear sky
282,Marsa Matruh,EG,31.3525,27.2453,71.13,61,0,4.88,clear sky
283,Natitingou,BJ,10.3042,1.3796,71.85,89,89,3.96,overcast clouds
284,Iqaluit,CA,63.7506,-68.5145,8.33,78,20,6.91,few clouds
285,Talnakh,RU,69.4865,88.3972,34.21,58,7,2.89,clear sky
286,Terme,TR,41.2092,36.9739,60.73,67,0,4.0,clear sky
287,Taunton,GB,51.0211,-3.1047,57.22,83,83,5.99,broken clouds
288,Prince Rupert,CA,54.3161,-130.3201,49.69,90,100,5.75,overcast clouds
289,Hokitika,NZ,-42.7167,170.9667,53.67,68,20,5.61,few clouds
290,Derzhavinsk,KZ,51.1,66.3167,81.77,27,16,17.38,few clouds
291,Kalaleh,IR,37.3807,55.4916,66.56,77,100,6.91,overcast clouds
